document,class_name,class_index,dataset_type
separate methane production consumption field base technique,7,7,train
propagation load cascade line outage simulate,5,2,train
international stock return,4,9,train
dynamic branch prediction perceptron,3,3,train
open control platform reconfigurable distribute hierarchical control system,5,2,train
influence brain conductivity simulation realistic head model,8,6,train
theorem theory local observable,8,6,train
choice process homogeneous group decision make linguistic setting,9,8,train
enhanced potential analysis find base modeling,1,0,train
comparison numerical simulator greenhouse gas storage,7,7,train
pricing corporate portfolio security,4,9,train
bayesian neural network internet traffic classification,3,3,train
page bioinformatic bioinformatic effect model high dimensional screen,2,1,train
bayesian neural network internet traffic classification,3,3,train
cluster analysis gene,2,1,train
title earth benchmark strong,7,7,train
work construct practice,9,8,train
hybrid system verification electronic control,5,2,train
cluster gene expression profile feature,2,1,train
comparison production cost resource organic conventional production system,0,4,train
property pre post coal mine landscape,0,4,train
competitive coevolution evolutionary,3,3,train
biologically inspire system map base,3,3,train
synthesis catalytic performance highly,6,5,train
performance evaluation low heat diesel engine pure diesel,7,7,train
secondary structure prediction,2,1,train
implication dynamic evolution,2,1,train
efficient practical distribute access control system,5,2,train
effect methane decomposition,7,7,train
control artificial system,5,2,train
formal model algorithm decentralized decision make uncertainty,9,8,train
wireless localization organizing map,3,3,train
test bed model silica parallel computing technique,6,5,train
spin method increase,8,6,train
ensemble principal direction random spherical linear,3,3,train
real time control system,5,2,train
molecular modeling protein mathematical prediction protein structure,2,1,train
note gene expression profile analysis base biological network,2,1,train
networked control system,5,2,train
petroleum supply study,7,7,train
proceeding remote sense support crop yield forecast area estimate review remote sense method crop area estimate,0,4,train
database regulatory bind site promoter,2,1,train
field theory fuzzy,8,6,train
analysis metabolic network pathway distance metric linear programming,2,1,train
optimal sequencing hybridization,2,1,train
survey reinforcement learning,3,3,train
dissertation robust speech recognition neural network hide markov model adaptation linear transformation,3,3,train
datum management control application base active database system,5,2,train
risk evaluation failure diagnosis autonomous task execution space,5,2,train
selection good band combination soil salinity study satellite image,0,4,train
introduction isotope methane oxidation improve determination,7,7,train
cost free field theory,8,6,train
task sequence optimize computation cycle time computation model,5,2,train
enhance multi agent base simulation human decision make strategy,9,8,train
bayesian protein structure alignment,2,1,train
discovery sample clustering gene expression datum,2,1,train
highly reactive decision making game time,9,8,train
title prototype system computer aid hypothesis evaluation author,2,1,train
practical approach build high assurance system,5,2,train
embed control system development,5,2,train
distribute decision making robotic agent,9,8,train
stock price empirical investigation market survey datum,4,9,train
real world rational agent,3,3,train
abstract neural network,3,3,train
intelligent task route people find work,9,8,train
table content organic agriculture origin organic agriculture,0,4,train
thermodynamic property predictive approach base computer assist structure simulation,7,7,train
model household saving supply response policy environment,9,8,train
control networked device ubiquitous computing environment,5,2,train
advanced visualization technology particle simulation,8,6,train
entropy inference estimator application association network,2,1,train
adaptive information system model management,4,9,train
procedure determination concentration diesel fuel,7,7,train
conditional test emission stationary diesel engine fourier transform infrare spectroscopy,7,7,train
thermodynamic analysis energy efficiency comparison statistical model electric energy demand,7,7,train
intelligence decision make theory evidence geometric operator,9,8,train
dimensional numerical simulation geometry solid oxide fuel cell accept publication,7,7,train
approach model reduction nonlinear control system,5,2,train
equity share issue aggregate stock return,4,9,train
macroeconomic term structure,4,9,train
analysis dynamic parameter gene expression,2,1,train
preference model base soft constraint,9,8,train
loss optical fiber loss optical fiber,6,5,train
maximum irrigation maximum irrigation,0,4,train
find gene dna hide markov model,2,1,train
utility decision theoretic hide,9,8,train
validation qualitative model genetic regulatory network model check analysis stress response,2,1,train
evaluation station flexibility technology application,7,7,train
architecture mechanism design real time fault tolerant networked control,5,2,train
volume bound molecular computation,2,1,train
modular inclusion temperature field theory curve space time,8,6,train
natural gas net reference,7,7,train
optimize long protein evolutionary information,2,1,train
investor drive market work paper,4,9,train
note control information science,5,2,train
uniqueness integrate density state dinger operator magnetic field random potential,8,6,train
secure evaluation private linear program medical application full version report,9,8,train
datum mine financial forecasting multiple kernel learning,3,3,train
external internal financial structure corporate finance perspective,4,9,train
cluster gene expression datum effective measure,2,1,train
natural gas future supply,7,7,train
increase online community participation uniqueness group,9,8,train
coordinate fuel inventory electric power generation uncertainty,7,7,train
classification bayesian neural net,3,3,train
commitment role direct exchange rate channel forward open economy model,4,9,train
transmission line outage datum estimate cascade failure propagation electric power system,5,2,train
time continuous alignment gene expression,2,1,train
total hydrocarbon diesel fuel fluid flame detector,7,7,train
mechanic description separate,8,6,train
natural language generation technology improve information flow intensive care unit,9,8,train
crop implication cycle climate change,0,4,train
demand asset pricing,4,9,train
chain rule induction,2,1,train
control markov decision process base agent,9,8,train
integration thin film substrate material laser,6,5,train
plant soil groundwater,0,4,train
semantic web technology extraction analysis social network,9,8,train
form neural network efficient adaptive coevolution,3,3,train
learn structural instability present calculation,4,9,train
technology online biological application,6,5,train
automatic communication performance language,6,5,train
joint classifier feature optimization,2,1,train
robot shape experiment behavior engineering,5,2,train
analysis microarray expression datum regularize test statistical inference gene change,2,1,train
motif extraction protein classification,2,1,train
production hydrogen post consumer waste,7,7,train
dynamic charge particle,8,6,train
performance base control system design automation evolutionary computing,5,2,train
design decision agent distribute role game experience project,9,8,train
evolution learning strategy,3,3,train
elsevi miss datum mixture distribution,3,3,train
macroeconomic management financial stability implication paper prepare expert,4,9,train
investment equity return,4,9,train
inference genetic regulatory network good extension paradigm,2,1,train
plan develop lead organization pursuit energy saving environmental benefit electric natural gas energy efficiency,7,7,train
sediment magnetic property reveal holocene climate change,1,0,train
flat nonlinear control system,5,2,train
adaptive regularization neural network modeling,3,3,train
mechanical evaluation steel titanium dynamic fracture,6,5,train
metal alloy carbon black,6,5,train
stochastic bad case model,4,9,train
model check controllable system,5,2,train
classification gene expression datum vote genetic programming classifier,2,1,train
interaction planning execution,9,8,train
particle physics century principle concept,8,6,train
controllability system configuration space,5,2,train
diesel emission performance characteristic diesel engine,7,7,train
nonparametric regression learn nonlinear transformation,3,3,train
learn image component object recognition,3,3,train
effective heuristic simple assignment variable,5,2,train
natural gas resource land background,7,7,train
sparse graphical model explore gene expression,2,1,train
private information fusion sensor network,9,8,train
page bioinformatic bioinformatic,8,6,train
agent base model environment,9,8,train
inference gene regulatory network system,2,1,train
hierarchical hybrid system model simulation,5,2,train
author work distribute creative common atmospheric chemistry physics,7,7,train
bond bridge social capital study,9,8,train
structure formal control system specification hardware change,5,2,train
tensor category conformal field theory,8,6,train
bayesian network analyze expression datum,2,1,train
export response real exchange rate fluctuation development status export good effect,4,9,train
multiple hypothesis testing cluster treatment effect,2,1,train
support case study law consequence,0,4,train
fault detection autonomous robot base fault injection learning,3,3,train
price power plant operational restriction stochastic control approach,4,9,train
boost margin explanation effectiveness vote method,3,3,train
dynamic simulation membrane enzyme,2,1,train
learn class large finite state machine recurrent neural network,3,3,train
current understanding magnetic relationship,8,6,train
optimize gas consumption gas space,7,7,train
tool simulation fast prototyping embed control system,5,2,train
cluster optimal leaf gene expression datum,2,1,train
distribute simulation system,5,2,train
strategy trading agent auction base,9,8,train
petroleum natural gas engineering,7,7,train
evolve fuzzy neural network supervise unsupervised line knowledge base learning,3,3,train
conflict resolution air traffic management study multi agent system,5,2,train
relationship local clustering time shift invert gene expression identify biologically relevant interaction,2,1,train
logic programming base implement system evolution,9,8,train
general training spatial geometry education augment reality annual review,9,8,train
separate microstructure noise volatility,4,9,train
food model integrate psychological research protect inform public policy,9,8,train
integration order knowledge representation reasoning challenge artificial intelligence,3,3,train
model energy consumption,7,7,train
genome annotation assessment,2,1,train
original paper system biology model analyse genetic regulatory network net approach,2,1,train
design support tool embed control software,5,2,train
decision make basis statistical likelihood,9,8,train
intelligent execution monitoring dynamic environment,5,2,train
plan knowledge base application,5,2,train
analysis break bulk symmetry,8,6,train
test potential energy surface kinetic isotope effect forward reverse reaction,7,7,train
title effect material set time early strength concrete author,7,7,train
base distribute embed system,5,2,train
analysis technique time,2,1,train
negative correlation learn data set,3,3,train
stability hybrid automata average dwell time invariant approach,5,2,train
characterize natural gas hydrate deep water application safe exploration production activity principal author,7,7,train
practical alloy iron base base material science engineering,6,5,train
control treatment disease formulation consideration,6,5,train
mechanism calcium channel,2,1,train
information server note experiment,6,5,train
discover sparse covariance structure,2,1,train
discovery statistically important pattern repeat long sequential datum,2,1,train
approach detection apply classification image region,3,3,train
text hierarchical feature map,3,3,train
access control datum sharing attitude practice,5,2,train
link ozone pollution climate change case control methane,7,7,train
chapter tool experimental method probe,6,5,train
robust experimental design regression model development fluidized bed design manufacturing,7,7,train
field drive order phase transition system long range interaction preparation,8,6,train
social increase social capital,9,8,train
manage real time service multimedia network dynamic visualization high level control,5,2,train
architecture performance management multimedia network,5,2,train
multi layer sparse coding network learn code natural image,3,3,train
sustainable management practice relate salinity control tree,0,4,train
symposium paper presentation poster,0,4,train
publishing modelling simulation material science engineering,6,5,train
find dna motif dependency,2,1,train
competitive coevolution evolutionary,3,3,train
acoustic inversion speech,3,3,train
soccer experience peer peer human robot team,9,8,train
characterize correlate exploratory behavior,9,8,train
irrigation water requirement,0,4,train
fuzzy approach evaluate quality,9,8,train
magnetic microstructure problem,6,5,train
trust domestic computer system trust technology technical perspective,5,2,train
memory dynamic control virtual machine environment,5,2,train
influence substrate visual,6,5,train
development natural gas hydrogen fuel station,7,7,train
good drop capture potential,0,4,train
overview reservoir compute theory application implementation,3,3,train
low band application current,8,6,train
chapter create metabolic network model text mining expert knowledge,2,1,train
design methodology heterogeneous system,6,5,train
line monitoring stability margin prediction power system base system identification,5,2,train
adaptive edge element method electromagnetic field computation,8,6,train
graphical model protein structure prediction,2,1,train
research open access complete,1,0,train
background qualitative decision theory,9,8,train
scalable real time multiple target tracking algorithm sensor network,9,8,train
efficient learning bayesian network classifier,2,1,train
effect cultural learning population neural network,3,3,train
world price trading,4,9,train
user adaptation good result system,5,2,train
detection change land degradation,0,4,train
bound online social network social capital role,9,8,train
knowledge extract train neural network,3,3,train
global search method solve nonlinear optimization problem,3,3,train
household behavior market failure natural resource management agriculture production,0,4,train
horizon black hole entropy,8,6,train
molecular modeling protein mathematical prediction protein structure,2,1,train
base access control semantic web service,9,8,train
perspective capital structure choice internal capital market,4,9,train
foundation computer science scientific publishing company hybrid system verification electronic control case study,5,2,train
feature selection organize feature map neural network application medical image segmentation submit,3,3,train
human machine communication robot task,3,3,train
effect datum transformation,2,1,train
decomposition study hydrate sediment condition cooperative,7,7,train
model argumentation negotiation decision make mediate system group decision make system,9,8,train
relation state temperature,8,6,train
brane central charge invariant condition,8,6,train
explore reactive access control,5,2,train
equalization diesel fuel tax regulation regulation tax diesel fuel,7,7,train
advanced material thermal management system application,6,5,train
ensemble approach microarray cancer gene expression analysis,2,1,train
initial review method cascade failure analysis electric power transmission system,5,2,train
development biofuel bad disease,7,7,train
sum magnetic symmetric domain,8,6,train
predict price probability default,4,9,train
test structure design situ mechanical property measurement system,6,5,train
evolve connect play neural network cultural learning,3,3,train
automatic communication performance language,6,5,train
information theoretic approach behaviour financial market,4,9,train
neural network assist size selection,3,3,train
simulation black hole,8,6,train
synthesis calcium rich silicate,6,5,train
reaction natural organic matter,7,7,train
credit constraint barrier post growth firm lesson firm level country panel datum,4,9,train
international currency exchange rate avoid currency crisis develop country,4,9,train
static high sensitivity analysis active gas stable isotope ratio measurement,6,5,train
information cost home bias analysis,4,9,train
robust monetary policy model control model uncertainty policy,4,9,train
spatial variation measure carbon stock sequestration potential native western,0,4,train
discover efficient learning rule feedforward neural network genetic programming,3,3,train
specification garch model stochastic,4,9,train
dynamic collaborative activity,9,8,train
hold crack size evolution phase array,7,7,train
society reserve print temporal variation late type star,6,5,train
stochastic regularization boost bioinformatic,2,1,train
layered control architecture robot,5,2,train
intelligent machine architecture object base system integration,5,2,train
effective algorithm mining coherent cluster microarray datum,2,1,train
view corporate governance compensation,4,9,train
corporate intensity chinese firm,9,8,train
stock return predictability sample forecast stock market timing strategy,4,9,train
vol review thermodynamic lattice mineral heat capacity relationship simple lattice model,6,5,train
dynamic stochastic volatility evidence option market,4,9,train
analysis method approximate fold landscape,8,6,train
role plasma composition magnetic field evolution plasma switch,8,6,train
identify pattern trend analysis growth sale year,4,9,train
optimal energy flow integrate energy system hydrogen economy consideration,7,7,train
asset price news shock current account,4,9,train
class discovery gene expression datum,2,1,train
long term quantity quality performance system water,7,7,train
film thin film solution base,6,5,train
term structure risk return,4,9,train
testing component situ material exploration,6,5,train
instruction selection iterative scheduling high performance issue dsp,5,2,train
strength characteristic concrete recycle concrete aggregate,6,5,train
specification autonomous crop production system,0,4,train
multi framework general purpose simulation construction management,9,8,train
scalable heuristic design dna probe,2,1,train
capital delegation decision make firm,4,9,train
adaptive dimension reduction cluster high dimensional datum,2,1,train
issue integrate mem technology,6,5,train
stability hybrid automata average dwell time invariant approach,5,2,train
functional biological process function protein long region,2,1,train
access control system mobile peer peer collaborative environment,5,2,train
real effect financial market integration low home bias lead benefit,4,9,train
estimation latent affine process work paper,4,9,train
regulation consumer financial product case study,4,9,train
flexible policy construction information refinement,9,8,train
ensemble neural network,3,3,train
motion plan map protein fold landscape analyze fold kinetic native structure,8,6,train
people place dual,6,5,train
scalable dsp architecture system chip domain,5,2,train
social capital exist tie,9,8,train
gas rate control diesel engine,7,7,train
collaborative network base learn environment,9,8,train
effect plant growth yield yield component corn,0,4,train
extract model train neural network,3,3,train
hybrid dynamic modeling control system,9,8,train
proceeding remote sense support crop yield forecast area estimate datum southern crop estimation inter comparison result crop estimation,0,4,train
model base diagnosis air path automotive diesel engine automotive workshop,7,7,train
computation stochastic chemical reaction network,8,6,train
advance access publish consensus sequence improve profile profile alignment,2,1,train
capacity quantum communication channel,8,6,train
inference base molecular computing,2,1,train
multi brain behavior evolution physically,3,3,train
model explore land pattern forest edge objective model design,0,4,train
low frequency electromagnetic field high contrast medium,8,6,train
multi layer sparse coding network learn code natural image,3,3,train
extract symbolic rule train neural network ensemble,3,3,train
high speed free multi detection,6,5,train
clustering gene expression datum,2,1,train
system paper active imaging visual information paper paper base product,6,5,train
hybrid scheduling data wireless network,9,8,train
polynomial time algorithm prime factorization discrete computer,8,6,train
design decision agent distribute role game experience project,9,8,train
average reward decentralize markov decision process,9,8,train
science vol review prospect,8,6,train
book market fluctuation trading activity cross section expect stock return,4,9,train
utility drive management,5,2,train
temporal aggregation inference regulatory network,2,1,train
information cascade evidence field experiment financial market,4,9,train
change fold transition state,8,6,train
gas power energy coal power plant,7,7,train
continuous interaction integrate perspective gain flexibility,5,2,train
optimal control stationary system velocity current formulation,8,6,train
optimization problem class neural network learn learn,3,3,train
production system manage application,0,4,train
efficient computation trade skyline,9,8,train
contribution laser scanning special research program history mining activity,1,0,train
decision procedure unitary linear cellular automata,8,6,train
direct single relation time domain,8,6,train
numerical linear algebra issue system control theory,5,2,train
relational ontology agent base modeling,9,8,train
prior distribution efficient computation factor analysis,9,8,train
application remote sensing early warning food security,0,4,train
computational complexity neural network survey,3,3,train
model negotiation group decision support system,9,8,train
symposium paper presentation poster,0,4,train
growth single crystal,6,5,train
proceeding remote sense support crop yield forecast area estimate crop crop yield forecasting system,0,4,train
date financial bubble crisis,7,7,train
pure simple pure simple,6,5,train
reconstruction phylogenetic relationship metabolic pathway reconstruction phylogenetic relationship metabolic pathway base enzyme hierarchy,2,1,train
mining concept large gene expression matrix,2,1,train
abductive approach analyse event base requirement specification,5,2,train
component base hierarchical modeling system continuous discrete dynamic,5,2,train
art strategy competition,9,8,train
measurement gene expression relationship,2,1,train
adaptive wavelet method master equation,8,6,train
robot vision sense evolve neural controller,3,3,train
relationship conditional volatility stock return latent approach,4,9,train
forthcoming advance decision analysis foundation application,9,8,train
mapping agricultural land natural resource image datum,0,4,train
gene human evolution,1,0,train
analysis design control system,5,2,train
dynamic infer qualitative model gene regulatory network,2,1,train
transfer learning task mapping temporal difference learning,3,3,train
model service orient decision support system,9,8,train
base language protein bind implication genetic regulatory run title language dna motif profile,2,1,train
enable agent team human multi context decision making,9,8,train
cooperative multiagent search portfolio selection,4,9,train
control reason resource bound agent,9,8,train
background overview methodology result reference acknowledgment,7,7,train
executive stock option incentive effect stock price movement managerial incentive alignment,4,9,train
control base feedback,5,2,train
form neural network efficient adaptive coevolution,3,3,train
application formal method regulatory requirement safety critical software real time control system,5,2,train
response capability horizon oil spill,6,5,train
gas dynamic fluid,8,6,train
active vehicle dynamic control,5,2,train
boost discriminant analysis application tissue classification gene expression datum,2,1,train
rule extraction recurrent neural network,3,3,train
cycle network simple efficient strategy black hole search,8,6,train
material science engineering,6,5,train
management uncertainty spatio temporal aspect monitoring diagnosis smart home,9,8,train
context aware information service health care,9,8,train
formalism apply model,8,6,train
comparison system identification technique spherical air simulator,5,2,train
sequence discriminative seed dna motif discovery,2,1,train
parameter composition consistent solution,9,8,train
symposium paper presentation poster,0,4,train
system level resource monitoring high performance computing environment,9,8,train
coordination belief update distribute anti air environment,9,8,train
generalized partial couple neural network,3,3,train
default recovery term structure spread work paper,4,9,train
approximation small error estimate,8,6,train
pulse fiber laser application,6,5,train
input state stabilization minimum number region,5,2,train
time trigger language embed programming,5,2,train
route conversion coal liquid comprehensive study,7,7,train
learn pattern classification survey,3,3,train
approach cluster gene expression datum,2,1,train
difference detect result maximum likelihood method analyze sensitivity difference,1,0,train
impact reduce agricultural water loss,0,4,train
acid mine treatment injection technology,7,7,train
comparison stochastic volatility model short rate,4,9,train
framework combine symbolic neural learning,3,3,train
infer genetic network,2,1,train
fact sheet agriculture natural resource energy,7,7,train
risk aware decision making dynamic programming,9,8,train
adaptive neural network framework detection scene analysis,3,3,train
state space evolve robot,5,2,train
net approach persistence analysis chemical reaction network,8,6,train
foreign puzzle micro tool,4,9,train
model investor fuzzy,4,9,train
southern variability impact natural ecosystem society,1,0,train
system digital implementation derivative feedback,5,2,train
development hierarchical structure action motor view synthetic robotic study,3,3,train
noisy prediction recurrent neural network grammatical inference,3,3,train
work forecast foreign exchange volatility imply volatility matter,4,9,train
control distribute signal design verification spin model,5,2,train
testing high frequency time,7,7,train
apply mathematical finance tool competitive electricity market,4,9,train
open economy macroeconomic,4,9,train
element simulation flow application reduction,8,6,train
evolution learning strategy,3,3,train
stock inference technique,4,9,train
inference markov chain method,2,1,train
unsupervised ensemble learning method nonlinear dynamic state space model,3,3,train
dynamic branch prediction perceptron,3,3,train
autonomous environment task adaptation robotic agent,5,2,train
closed end country fund discount work paper,4,9,train
analysis magnetic field,8,6,train
datum mining soft computing framework survey,3,3,train
volatile inventory nitrogen methane,7,7,train
modeling gas hydrate instability methane release response climate change,7,7,train
exploit population information evolutionary learning,3,3,train
optimal approximate function decentralized,9,8,train
ontology support spoken crisis decision making,9,8,train
optimization material microstructure theory approach,6,5,train
design strategy trading agent electronic auction,9,8,train
action consequence base decision make intelligent user interface,9,8,train
markovian model sequential datum,3,3,train
short communication process mercury removal gas,7,7,train
limit conceptual robustness simultaneous engineering formulation continuous space,9,8,train
human machine interface support reconfigurable software virtual laboratory,5,2,train
formal fault tree semantic,5,2,train
fast recovery evolutionary tree thousand node,2,1,train
evolutionary algorithm construct recurrent neural network,3,3,train
kinetic model spectral dependency radiation,6,5,train
reproduce publish soil copyright reserve laboratory commercial sensor estimate infer soil water content,0,4,train
topic physical mathematic geometric topology field theory,8,6,train
build artificial stock market work paper,4,9,train
magnetic moment rate plasma,8,6,train
web multi exploratory analysis,9,8,train
foreign trading local stock market,4,9,train
uniqueness stability laminate microstructure martensitic crystal phase transformation,6,5,train
quantize feedback stabilization linear system,5,2,train
neural network modelling control,3,3,train
financial volatility trading recurrent neural network,3,3,train
chip autonomous system,6,5,train
efficient model similarity search dna sequence database,2,1,train
molecular biology fall,2,1,train
analysis performance emission characteristic extend expansion diesel engine,7,7,train
analysis base production system,0,4,train
test garch specification stock return,4,9,train
method similarity search metric space,2,1,train
individual investor sentiment stock return learn trader,4,9,train
mechanic distribute computing,8,6,train
evaluate inflation target model,4,9,train
simulation validation integrate market model,4,9,train
natural gas production curve build future,7,7,train
design surface geometry acquisition system highly object application,6,5,train
strain production region grow season southern,0,4,train
stress distribution plane phase neighbor fiber composite material,6,5,train
challenge opportunity evolutionary robotic,3,3,train
source activity title extraction treatment solid fossil fuel open mining mining,7,7,train
technological content knowledge framework knowledge,9,8,train
analysis series blackout cascade failure critical point organization,5,2,train
design trading agent set approach,9,8,train
real time algorithm architecture channel estimation detection wireless base station receiver,5,2,train
parallel integer relation detection technique application,8,6,train
computational design multiphase material,6,5,train
rigorous view mode,5,2,train
empirical learning natural language processing task,3,3,train
interact process class,5,2,train
predict variation methane emission boreal regression model,7,7,train
competitive cluster domain graph,3,3,train
information multi class cancer diagnosis gene expression signature,2,1,train
simulation option pricing,4,9,train
medium duration multiple rice culture,0,4,train
evaluation fault diagnosis automotive engine,7,7,train
case base case base method line selection adaptation reactive control parameter autonomous robotic system,5,2,train
enhancement markov model gene finding biological application,2,1,train
forecast crash trading volume return conditional stock price,4,9,train
content list neural network,3,3,train
secure evaluation private linear program medical application,9,8,train
linguistic decision analysis step solve decision problem,9,8,train
initial result situ environmental monitoring,8,6,train
evaluation depth effect plant parameter area,0,4,train
gradient calculation dynamic recurrent neural network survey,3,3,train
control control system application evolve,5,2,train
web water conflict field experiment,0,4,train
assignment multiple instance regression,0,4,train
dynamic decision make logic programming game theory,9,8,train
datum mining prediction case,3,3,train
map soil salinity,0,4,train
analysis variance microarray datum,2,1,train
reason framework autonomous,9,8,train
application homogenization method material design,6,5,train
effect thermal stress fracture polymer metal interface,6,5,train
region interaction functional role behavioral cognitive review,3,3,train
computational material science reliable engineering tool band structure device consequence,6,5,train
decision tree system find gene,2,1,train
crop model mapping role plant,0,4,train
base matching base methodology image alignment object noisy condition,6,5,train
fast profit investor sentiment stock return,4,9,train
distribute sense access cognitive network,9,8,train
development decision support system natural damage assessment base remote sensing physical model,0,4,train
climate technological innovation,1,0,train
adaptive behavior empirical study action selection reinforcement learning,3,3,train
neural network part speech,3,3,train
crude oil spot forward future market,7,7,train
model phase transformation steel metal,6,5,train
forecast exchange rate volatility high frequency,4,9,train
methane production oxidation potential relation water table fluctuation boreal,7,7,train
monthly flash estimate electric power datum section commentary datum,7,7,train
article gene action yield attribute character generation,0,4,train
hierarchical controller learn,3,3,train
report policy access control open environment,5,2,train
parallel implementation bind molecular dynamic base atom,6,5,train
bioinformatic application note structural bioinformatic,2,1,train
statistical mechanic financial market exponential modification black,4,9,train
implement real time model area network,5,2,train
paper spatial pattern crop yield,0,4,train
effect property waste plastic fibre reinforce experimental,6,5,train
investor sentiment cross section stock return,4,9,train
memory base face recognition visitor identification,3,3,train
characteristic country specific factor,4,9,train
optimal simple target rule small open economy work paper,4,9,train
functional analysis real time protocol networked control system,5,2,train
physics topology logic computation,8,6,train
context specific bayesian cluster gene expression datum,2,1,train
compute tomography phase flow measurement,6,5,train
accept publication simulation particle gas flow behavior section circulate fluidized bed theory approach particulate phase,7,7,train
accept publication computational material science hybrid model simulation,6,5,train
sampling method detect motif region gene,2,1,train
linear radiocarbon calibration curve realistic variance,1,0,train
parallel integer relation detection technique application,8,6,train
inspection composite material,6,5,train
local magnetic diffusion alpha effect tensor flow,8,6,train
evaluate performance crop water balance model estimate regional crop production,0,4,train
decision tree learn genetic programming,4,9,train
neural network regularization multi objective evolutionary algorithm,3,3,train
geometry method application algebra,8,6,train
simulation natural social process interaction bronze age,1,0,train
class hybrid system,5,2,train
aware wireless sensor actuator network,5,2,train
model crop yield distribution small sample,0,4,train
optimal consumption portfolio policy important jump event modeling,4,9,train
complexity character stock return empirical evidence model asset price base complex investor learning,4,9,train
multi particle molecular dynamic,6,5,train
tensile property matrix composite subject environment,6,5,train
modeling simulation genetic system literature review,2,1,train
evolutionary function approximation reinforcement learning,3,3,train
mine soil purpose industrial organic waste,7,7,train
rate constant reaction,7,7,train
extend exhaust gas limit diesel engine,7,7,train
switch state space model,3,3,train
adaptive processing datum structure,3,3,train
expectation field component,8,6,train
approach transcription factor bind site identification problem,2,1,train
graph drive feature extraction microarray datum diffusion kernel,2,1,train
american technology overview benchmark,7,7,train
model structure social group,9,8,train
design particle system effect,3,3,train
hierarchical decision make multi agent system set programming,9,8,train
scalable simulation algorithm material research,8,6,train
artificial evolution visual control system robot,3,3,train
bayesian network estimate gene network microarray biological knowledge,2,1,train
intelligence decision make fuzzy multi objective planning aerial system,9,8,train
relationship bank matter japanese bank tie good time bad,4,9,train
decision make transformation,9,8,train
approach neural network,3,3,train
internal capital market cash managerial incentive,4,9,train
health introduction low emission bus,7,7,train
numerical method process lattice method density time,4,9,train
execution monitor synthesis hybrid system,5,2,train
description site operation,6,5,train
technology probe inspire design family,9,8,train
quantize control optimization,5,2,train
control theory system research system,5,2,train
combination local evolutionary search train recurrent neural network,3,3,train
estimate methane emission natural gas industry,7,7,train
decision make autonomous agent,9,8,train
stock price incorporate potential,4,9,train
recent observation optimal networked control linear temporal coding design control specific transport protocol,5,2,train
trust base decision make electronic commerce transaction,9,8,train
fire history community,0,4,train
qualitative comparison gas turbine cycle capture,7,7,train
factor efficient factor affect efficient,0,4,train
estimation gradient coordinate classification,2,1,train
speed convergence iteration partially observable markov decision process,9,8,train
delay damage model selection algorithm network,3,3,train
autonomous agent prototype,5,2,train
flexibility genetic code dna structure,2,1,train
sequence marine sequence,6,5,train
couple chemical kinetic global atmospheric test model,8,6,train
power aware scheduling timing constraint critical embed system,5,2,train
tree index large dna sequence database,2,1,train
estimation control communication networked control system,5,2,train
reconstruct binary matrix constraint projection,6,5,train
assessment technique relevant pattern discovery gene expression datum,2,1,train
class switch neural network ensemble,3,3,train
waste management soil water,0,4,train
reconstruction land basis simulate interaction community,1,0,train
construct network model gene expression network microarray datum,2,1,train
evolutionary multi objective local selection algorithm,3,3,train
action plan update climate change,7,7,train
neural transmission delay neural activation evolutionary neural network,3,3,train
learning neural network logic,3,3,train
reinforcement learn markovian task long term dependency,3,3,train
dispersion medium spin early,8,6,train
review technical issue relate commercial methane hydrate production final report,7,7,train
consistent pricing interest rate interest rate derivative,4,9,train
optimal financial market integration security design,4,9,train
performance specification metric adaptive real time system,5,2,train
effect yield nutrient condition,0,4,train
engineering genetic engineering wheat transformation tool wheat genetic,0,4,train
stre field theory model,8,6,train
power aware task motion dynamic range enhancement power aware embed system,5,2,train
symposium paper presentation poster,0,4,train
hierarchical grain stream software define,5,2,train
robust scheduling design application robot control,5,2,train
security bit commitment scheme,8,6,train
dynamic calculation high performance computer,6,5,train
scalable heuristic design dna probe,2,1,train
privacy risk model design privacy sensitive ubiquitous computing system,9,8,train
multiple complex chemical reaction network extension specie model,8,6,train
strategy effective scheduling multi issue digital signal processor,5,2,train
advanced inspection structure,6,5,train
titanium performance potential experimental study,6,5,train
stock market drive acquisition,4,9,train
introduction random field theory,8,6,train
volume simulation electromagnetic problem highly discontinuous coefficient,8,6,train
theory social function challenge computational social science multi agent learning,9,8,train
model technique actuator,8,6,train
apply growth global equity market,4,9,train
visualization comparison dna sequence dimensional trajectory,2,1,train
ensemble neural network,3,3,train
methodology normative policy analysis,9,8,train
type algorithm order restriction map alignment,2,1,train
genome occurrence promoter element reveal,2,1,train
network discover regulatory module condition specific gene expression datum,2,1,train
recent advance material ultrasonic transducer,6,5,train
scalable algorithm learn regulatory network yeast,2,1,train
cost optimize pipeline case study industry,7,7,train
ensemble method empirical study,3,3,train
design evaluation wireless health care information system develop country,9,8,train
chapter aid optimization dna array design manufacturing,2,1,train
emergence project team open source software network impact prior collaboration tie,9,8,train
analysis prediction recurrent expert,3,3,train
construction boundary surface section metal,6,5,train
model analyse genetic network boolean network net,2,1,train
bayesian segmentation protein secondary structure,2,1,train
bioinformatic bioinformatic advance access publish classification microarray datum factor mixture model,2,1,train
sequential decision make adaptive utility,9,8,train
perspective behavioral finance evidence expectation action,4,9,train
